"""%1"" has been added to your shopping cart","""%1"" has been added to your shopping cart"
%1 of %2 items were added to cart,%1 of %2 items were added to cart
Add to Wishlist,Add to Wishlist
All items were added to cart,All items were added to cart
Cancel,Cancel
Comment,Comment
Copy To Wishlist,Copy To Wishlist
Enter new wishlist name here,Enter new wishlist name here
Go to wishlist,Go to wishlist
Item not found,Item not found
Leave product in wishlist,Leave product in wishlist
Main,Main
Move To Wishlist,Move To Wishlist
No items were added to cart,No items were added to cart
OR create a new wishlist,OR create a new wishlist
"Product ""%1"" has been copied to wishlist ""%2""","Product ""%1"" has been copied to wishlist ""%2"""
"Product ""%1"" has been moved to wishlist ""%2","Product ""%1"" has been moved to wishlist ""%2"
"Product ""%s"" has been added to wishlist ""%s""","Product ""%s"" has been added to wishlist ""%s"""
Remove from wishlist,Remove from wishlist
Remove Wishlist,Remove Wishlist
Rename,Rename
Stay on current page,Stay on current page
The wishlist name can't be left blank,The wishlist name can't be left blank
The wishlist name can't be left blank,The wishlist name can't be left blank
This Wish List has no Items,This Wish List has no Items
Wishlist,Wishlist
Wishlist item with ID %1 was not found!,Wishlist item with ID %1 was not found!
Wishlist with such a name already exists,Wishlist with such a name already exists
You can't remove the main wishlist,You can't remove the main wishlist
You can't rename the main wishlist,You can't rename the main wishlist
